"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"366";"Aljustrel (Moinho level -155 m)";"Iberian Peninsula";18,195;15,631;38,202;"#FFA500";"triangle";25,26;21,7;53,04
"367";"Aljustrel (Moinho level -155 m)";"Iberian Peninsula";18,206;15,628;38,206;"#FFA500";"triangle";25,27;21,69;53,03
"368";"Aljustrel (gossan)";"Iberian Peninsula";18,184;15,626;38,212;"#FFA500";"triangle";25,25;21,7;53,06
"369";"Aljustrel (gossan)";"Iberian Peninsula";18,2;15,636;38,231;"#FFA500";"triangle";25,25;21,7;53,05
"370";"Aljustrel (gossan)";"Iberian Peninsula";18,197;15,635;38,223;"#FFA500";"triangle";25,25;21,7;53,05
"371";"Aljustrel (gossan)";"Iberian Peninsula";18,185;15,628;38,214;"#FFA500";"triangle";25,25;21,7;53,06
"372";"Aljustrel (gossan)";"Iberian Peninsula";18,211;15,647;38,293;"#FFA500";"triangle";25,24;21,69;53,07
"373";"Aljustrel (gossan)";"Iberian Peninsula";18,209;15,645;38,27;"#FFA500";"triangle";25,25;21,69;53,06
"374";"Aljustrel (gossan)";"Iberian Peninsula";18,214;15,649;38,294;"#FFA500";"triangle";25,24;21,69;53,07
"375";"Aljustrel (gossan)";"Iberian Peninsula";18,213;15,647;38,272;"#FFA500";"triangle";25,25;21,69;53,06
"376";"Aljustrel (gossan)";"Iberian Peninsula";18,194;15,644;38,265;"#FFA500";"triangle";25,23;21,7;53,07
"377";"Aljustrel (gossan)";"Iberian Peninsula";18,191;15,629;38,275;"#FFA500";"triangle";25,23;21,68;53,09
"378";"Almagrera";"Iberian Peninsula";18,197;15,646;38,289;"#FFA500";"triangle";25,23;21,69;53,08
"379";"Aznalcollar";"Iberian Peninsula";18,161;15,622;39,16;"#FFA500";"triangle";24,9;21,42;53,69
"380";"Aznalcollar";"Iberian Peninsula";18,176;15,61;38,11;"#FFA500";"triangle";25,28;21,71;53,01
"381";"Aznalcollar";"Iberian Peninsula";18,199;15,646;38,223;"#FFA500";"triangle";25,25;21,71;53,04
"382";"Aznalcollar";"Iberian Peninsula";18,176;15,608;38,113;"#FFA500";"triangle";25,28;21,71;53,01
"383";"Aznalcóllar";"Iberian Peninsula";18,157;15,6072;38,1197;"#FFA500";"triangle";25,26;21,71;53,03
"384";"Aznalcóllar";"Iberian Peninsula";18,173;15,6233;38,1713;"#FFA500";"triangle";25,25;21,71;53,04
"385";"Aznalcóllar";"Iberian Peninsula";18,188;15,6362;38,2183;"#FFA500";"triangle";25,25;21,7;53,05
"386";"Aznalcóllar";"Iberian Peninsula";18,177;15,6204;38,091;"#FFA500";"triangle";25,29;21,73;52,99
"387";"Aznalcóllar";"Iberian Peninsula";18,25;15,6665;38,3383;"#FFA500";"triangle";25,26;21,68;53,06
"388";"Aznalcóllar";"Iberian Peninsula";18,153;15,5983;38,0912;"#FFA500";"triangle";25,27;21,71;53,02
"389";"Aznalcóllar";"Iberian Peninsula";18,148;15,618;38,1776;"#FFA500";"triangle";25,23;21,71;53,07
"390";"Aznalcóllar";"Iberian Peninsula";18,158;15,6019;38,1024;"#FFA500";"triangle";25,27;21,71;53,02
"391";"Aznalcóllar";"Iberian Peninsula";18,191;15,635;38,2187;"#FFA500";"triangle";25,25;21,7;53,05
"392";"Aznalcóllar";"Iberian Peninsula";18,179;15,627;38,1903;"#FFA500";"triangle";25,25;21,71;53,04
"393";"Aznalcóllar";"Iberian Peninsula";18,173;15,6242;38,1824;"#FFA500";"triangle";25,25;21,71;53,05
"394";"Filon Aznalcollar";"Iberian Peninsula";18,179;15,62703198;38,19026141;"#FFA500";"triangle";25,25;21,71;53,04
"395";"Filon Aznalcollar";"Iberian Peninsula";18,173;15,62423675;38,18238165;"#FFA500";"triangle";25,25;21,71;53,05
"396";"Filon Aznalcollar";"Iberian Peninsula";18,1732;15,62350004;38,171716208;"#FFA500";"triangle";25,25;21,71;53,04
"397";"Filon Aznalcollar";"Iberian Peninsula";18,1885;15,63665345;38,219313165;"#FFA500";"triangle";25,25;21,7;53,05
"398";"Filon Aznalcollar";"Iberian Peninsula";18,1772;15,62057682;38,091413232;"#FFA500";"triangle";25,29;21,73;52,99
